회차,시청률,회차_merge용
579,4.4%,런닝맨 579회
578,4.9%,런닝맨 578회
577,4.6%,런닝맨 577회
576,5.2%,런닝맨 576회
575,5.1%,런닝맨 575회
574,4.8%,런닝맨 574회
573,5.5%,런닝맨 573회
572,5.9%,런닝맨 572회
571,4.3%,런닝맨 571회
570,4.2%,런닝맨 570회
569,4.6%,런닝맨 569회
568,4.6%,런닝맨 568회
567,5.2%,런닝맨 567회
566,4.9%,런닝맨 566회
565,5.2%,런닝맨 565회
564,4.8%,런닝맨 564회
563,4.6%,런닝맨 563회
562,5.6%,런닝맨 562회
561,5.6%,런닝맨 561회
560,5.3%,런닝맨 560회
559,6.0%,런닝맨 559회
558,6.4%,런닝맨 558회
557,6.7%,런닝맨 557회
556,5.6%,런닝맨 556회
555,6.5%,런닝맨 555회
554,6.0%,런닝맨 554회
553,5.4%,런닝맨 553회
552,5.6%,런닝맨 552회
551,6.4%,런닝맨 551회
550,5.6%,런닝맨 550회
549,5.9%,런닝맨 549회
548,6.3%,런닝맨 548회
547,6.8%,런닝맨 547회
546,5.2%,런닝맨 546회
545,5.8%,런닝맨 545회
544,6.2%,런닝맨 544회
543,5.7%,런닝맨 543회
542,6.3%,런닝맨 542회
541,5.7%,런닝맨 541회
540,6.4%,런닝맨 540회
539,6.7%,런닝맨 539회
538,7.9%,런닝맨 538회
537,7.0%,런닝맨 537회
536,7.6%,런닝맨 536회
535,7.2%,런닝맨 535회
534,7.7%,런닝맨 534회
533,6.8%,런닝맨 533회
532,6.9%,런닝맨 532회
531,6.6%,런닝맨 531회
530,6.9%,런닝맨 530회
529,6.6%,런닝맨 529회
528,6.6%,런닝맨 528회
527,6.2%,런닝맨 527회
526,6.5%,런닝맨 526회
